category,item_name,style,color,season,price_range,occasion,trend_status,description,2025_trend_notes,outfit_combinations,image_url
outerwear,windbreaker,streetwear,neon,spring,low,casual,trending,Lightweight rain jacket,Retro sportswear,"crop_top,baggy_jeans,"all"
outerwear,oversized_hoodie,streetwear,black,all,medium,casual,trending,Relaxed fit hoodie,Comfortable style,"cycling_shorts,chunky_sneakers,"all"
outerwear,wool_coat,business,black,winter,high,work,classic,Classic winter coat,Investment piece,"turtleneck,wide_leg_pants,"all"
outerwear,bomber_jacket,streetwear,olive,fall,medium,casual,trending,Classic bomber style,Urban cool,"crop_top,baggy_jeans,"all"
shoes,chunky_sneakers,streetwear,white,all,medium,casual,trending,Thick sole athletic shoes,Comfort meets style,"crop_top,baggy_jeans,"all"
shoes,ankle_boots,formal,black,fall,high,work,classic,Short leather boots,Seasonal staple,"turtleneck,wide_leg_pants,"all"
shoes,strappy_sandals,party,black,summer,medium,party,trending,Thin strap heels,Sexy minimalism,"slip_dress,chain_necklace,"all"
shoes,loafers,business,brown,all,high,work,trending,Slip-on leather shoes,Preppy sophistication,"silk_blouse,wide_leg_pants,"all"
shoes,platform_sandals,party,white,summer,medium,party,trending,Thick sole sandals,90s revival,"mini_dress,chain_necklace,"all"
shoes,ballet_flats,minimalist,black,all,medium,casual,classic,Round toe flat shoes,Timeless comfort,"turtleneck,wide_leg_pants,"all"
shoes,combat_boots,streetwear,black,fall,medium,casual,trending,Heavy duty boots,Edgy utility,"crop_top,baggy_jeans,"all"
shoes,mules,formal,beige,all,high,work,trending,Backless slip-on shoes,Effortless elegance,"silk_blouse,wide_leg_pants,"all"
shoes,mary_janes,party,black,all,medium,party,trending,Classic strap shoes,Retro charm,"mini_dress,chain_necklace,"all"
shoes,oxford_shoes,business,black,all,high,work,classic,Classic lace-up shoes,Professional polish,"silk_blouse,pencil_skirt,"all"
shoes,espadrilles,casual,white,summer,low,casual,trending,Canvas wedge shoes,Summer essential,"maxi_dress,stacked_rings,"all"
accessories,oversized_bag,minimalist,black,all,high,work,trending,Large structured handbag,Functional luxury,"silk_blouse,wide_leg_pants,"all"
accessories,chain_necklace,streetwear,gold,all,medium,party,trending,Thick link necklace,Statement jewelry,"crop_top,baggy_jeans,"all"
accessories,scarf,formal,red,winter,low,casual,classic,Silk or wool scarf,Seasonal accessory,"turtleneck,wide_leg_pants,"all"
accessories,hoop_earrings,party,gold,all,medium,party,trending,Large circular earrings,Retro glamour,"slip_dress,strappy_sandals,"all"
accessories,belt_bag,streetwear,black,all,low,casual,trending,Cross-body fanny pack,Hands-free convenience,"crop_top,baggy_jeans,"all"
accessories,wide_belt,business,black,all,medium,work,trending,Thick leather belt,Waist definition,"silk_blouse,pencil_skirt,"all"
accessories,stacked_rings,party,silver,all,medium,party,trending,Multiple thin rings,Minimalist jewelry,"slip_dress,strappy_sandals,"all"
accessories,headband,minimalist,black,all,low,casual,trending,Thin fabric headband,Effortless styling,"turtleneck,wide_leg_pants,"all"
accessories,statement_earrings,party,gold,all,high,party,trending,Bold geometric earrings,Red carpet glamour,"slip_dress,strappy_sandals,"all"
accessories,leather_gloves,formal,black,winter,medium,work,classic,Classic leather gloves,Winter elegance,"turtleneck,wide_leg_pants,"all"
accessories,sunglasses,streetwear,black,all,medium,casual,trending,Oversized frame sunglasses,Statement accessory,"crop_top,baggy_jeans,"all"
accessories,watch,formal,silver,all,high,work,classic,Classic timepiece,Investment accessory,"silk_blouse,wide_leg_pants,"all"
accessories,bandana,streetwear,red,all,low,casual,trending,Classic cotton bandana,Retro accessory,"crop_top,baggy_jeans,"all"
